Codmundv			1302603,	1501402,	2111300,	2211001,	2304400,	2408102,	2507507,	2611606,	2704302,	2800308,	2927408,	3106200,	3205309,	3304557,	3509502,	3550308,	4106902,	4205407,	4314902,	5002704,	5103403,	5208707,	5300108,
		Cidade		MANAUS,		BELÉM,		SÃO LUÍS,	TERESINA,	FORTALEZA,	NATAL,		JOÃO PESSOA,	RECIFE, 	MACEIÓ, 	ARACAJU,	SALVADOR,	BELO HORIZONTE,	VITÓRIA,	RIO DE JANEIRO,	CAMPINAS,	SÃO PAULO,	CURITIBA,	FLORIANÓPOLIS,	PORTO ALEGRE,	CAMPO GRANDE,	CUIABÁ, 	GOIÂNIA,	BRASÍLIA,
2105302,	IMPERATRIZ,	04.35,         	05.20,         	00.55,         	04.45,         	05.22,         	05.40,         	06.40,         	05.25,         	05.35,         	07.40,         	05.44,         	04.10,         	04.50,         	04.00,         	04.08,         	04.08,         	04.40,         	05.48,         	08.45,         	05.25,         	03.35,         	05.05,         	01.53,         
2111300,	SÃO LUÍS,	03.25,         	01.00,         	-1,            	00.50,         	01.10,         	07.10,         	07.20,         	02.50,         	07.00,         	04.40,         	04.45,         	02.49,         	04.55,         	03.25,         	04.50,         	03.25,         	05.05,         	06.08,         	05.32,         	05.07,         	05.10,         	04.37,         	02.15,         
2211001,	TERESINA,	05.30,         	04.00,         	00.50,         	-1,            	00.58,         	05.36,         	06.35,         	04.50,         	05.30,         	07.35,         	04.45,         	04.07,         	06.25,         	03.02,         	06.14,         	03.00,         	04.54,         	05.50,         	06.10,         	05.20,         	03.30,         	03.50,         	01.59,         
2304400,	FORTALEZA,	02.18,         	01.47,         	00.48,         	01.00,         	-1,            	00.55,         	05.40,         	01.05,         	04.30,         	02.43,         	01.40,         	03.00,         	05.45,         	03.17,         	04.48,         	03.28,         	05.14,         	05.50,         	05.38,         	04.54,         	04.38,         	04.08,         	02.35,         
2307304,	JUAZEIRO DO NORTE,	05.30,         	04.00,         	02.35,         	02.35,         	00.46,         	-1,            	-1,            	01.13,         	-1,            	07.12,         	01.06,         	04.16,         	07.55,         	04.28,         	06.33,         	03.05,         	05.06,         	06.25,         	05.27,         	04.24,         	04.10,         	06.10,         	02.15,         
2408102,	NATAL,		06.15,         	04.40,         	03.10,         	04.15,         	00.56,         	-1,            	07.00,         	00.40,         	08.22,         	02.20,         	01.28,         	03.43,         	05.00,         	03.02,         	06.03,         	03.15,         	05.33,         	05.30,         	06.15,         	05.45,         	05.38,         	03.55,         	06.39,         
2504009,	CAMPINA GRANDE,	09.59,         	05.50,         	08.30,         	09.10,         	03.25,         	-1,            	-1,            	00.43,         	-1,            	11.35,         	01.15,         	03.32,         	05.25,         	04.36,         	07.30,         	05.10,         	07.33,         	07.20,         	08.12,         	08.35,         	06.45,         	05.25,         	03.40,         
2507507,	JOÃO PESSOA,	06.45,         	06.00,         	06.40,         	05.50,         	05.00,         	07.05,         	-1,            	03.10,         	07.25,         	07.20,         	01.30,         	04.00,         	04.48,         	02.45,         	05.00,         	03.00,         	05.10,         	05.28,         	06.05,         	04.40,         	05.10,         	04.30,         	02.38,         
2605459,	FERNANDO DE NORONHA,	05.45,         	04.55,         	04.15,         	06.15,         	02.20,         	01.10,         	08.32,         	01.00,         	06.55,         	03.40,         	05.15,         	03.23,         	05.45,         	03.41,         	05.03,         	04.15,         	05.35,         	06.25,         	07.30,         	06.47,         	05.15,         	05.15,         	02.54,         
2611101,	PETROLINA,	06.45,         	06.05,         	04.35,         	07.07,         	02.55,         	05.32,         	09.02,         	00.59,         	07.57,         	05.32,         	01.14,         	05.05,         	06.32,         	04.36,         	06.40,         	04.25,         	07.03,         	07.07,         	08.52,         	07.35,         	05.57,         	07.55,         	04.07,         
2611606,	RECIFE,		04.40,         	03.45,         	06.00,         	03.20,         	01.10,         	00.39,         	04.00,         	-1,            	02.50,         	01.05,         	01.08,         	02.37,         	04.30,         	02.27,         	04.29,         	03.13,         	04.43,         	05.30,         	05.10,         	04.10,         	04.15,         	04.00,         	02.20,         
2704302,	MACEIÓ,		05.28,         	06.25,         	08.18,         	05.50,         	04.35,         	07.30,         	07.45,         	02.45,         	-1,            	00.40,         	01.00,         	03.15,         	04.50,         	02.41,         	05.23,         	03.05,         	04.52,         	05.44,         	05.24,         	05.45,         	04.10,         	04.20,         	02.14,         
2800308,	ARACAJU,	06.11,         	05.55,         	04.55,         	06.33,         	03.00,         	02.20,         	07.21,         	00.53,         	07.23,         	-1,            	00.40,         	02.05,         	04.40,         	02.22,         	04.43,         	02.40,         	04.53,         	05.28,         	05.07,         	05.00,         	04.55,         	04.43,         	02.08,         
2903201,	BARREIRAS,	05.08,         	06.43,         	06.03,         	06.23,         	05.36,         	04.25,         	07.48,         	05.48,         	03.55,         	03.15,         	01.20,         	03.58,         	06.23,         	03.36,         	-1,            	03.45,         	04.59,         	06.28,         	04.50,         	05.13,         	03.23,         	05.03,         	00.51,         
2913606,	ILHÉUS		07.15,         	04.30,         	08.52,         	08.15,         	06.46,         	08.34,         	10.30,         	04.35,         	08.53,         	09.10,         	00.39,         	01.35,         	01.15,         	03.48,         	06.35,         	02.02,         	04.25,         	06.00,         	03.52,         	04.01,         	06.49,         	05.15,         	01.32,         
2925303,	PORTO SEGURO,	06.55,         	07.30,         	05.10,         	06.10,         	04.32,         	04.20,         	07.47,         	05.30,         	04.10,         	02.58,         	00.53,         	01.02,         	05.03,         	01.51,         	06.08,         	01.50,         	03.42,         	04.50,         	04.15,         	03.47,         	04.37,         	04.25,         	03.30,         
2927408,	SALVADOR,	04.20,         	02.44,         	04.42,         	03.22,         	01.35,         	01.30,         	01.26,         	01.07,         	01.00,         	00.45,         	-1,            	01.31,         	02.37,         	02.02,         	03.33,         	02.18,         	02.58,         	04.10,         	04.40,         	03.30,         	03.33,         	02.13,         	01.41,         
2933307,	VITÓRIA DA CONQUISTA,	07.25,         	07.10,         	07.50,         	08.29,         	03.36,         	06.45,         	10.12,         	03.30,         	06.35,         	02.33,         	00.40,         	01.45,         	04.40,         	04.43,         	05.05,         	01.55,         	03.53,         	08.05,         	06.09,         	04.25,         	05.45,         	06.50,         	03.45,         
